Model,Horizon,Target,MAE,RMSE,R2
Persistence,1h,pm2_5,1.4528813362121582,3.3930828134159547,0.9960038661956787
Persistence,1h,pm10,1.1398905515670776,3.132230709401679,0.9948859214782715
Persistence,6h,pm2_5,6.794112682342529,12.37189421549878,0.9466380476951599
Persistence,6h,pm10,5.258548736572266,10.954936923842652,0.9377272129058838
Persistence,12h,pm2_5,12.003864288330078,20.29868069575659,0.8557266592979431
Persistence,12h,pm10,9.316757202148438,17.81770414656971,0.8361793756484985
Persistence,24h,pm2_5,20.38121223449707,31.799802153349752,0.6440194845199585
Persistence,24h,pm10,15.587950706481934,27.05871189026108,0.6257487535476685
HistoricalAvg,1h,pm2_5,1.3633594512939453,3.3693512162444867,0.9960595965385437
HistoricalAvg,1h,pm10,1.0809545516967773,3.1278816669647496,0.994900107383728
HistoricalAvg,6h,pm2_5,6.7848358154296875,12.37315894409586,0.946627140045166
HistoricalAvg,6h,pm10,5.253176212310791,10.95941268962278,0.9376763105392456
HistoricalAvg,12h,pm2_5,12.004294395446777,20.298107130374788,0.8557348251342773
HistoricalAvg,12h,pm10,9.317769050598145,17.816703862483585,0.8361977338790894
HistoricalAvg,24h,pm2_5,20.3476619720459,31.766965163257154,0.6447542905807495
HistoricalAvg,24h,pm10,15.577252388000488,27.026206402666492,0.626647412776947
