City,Horizon,PM2.5_pred,PM10_pred,AQI_pred,AQI_upper_95,Category (mean),Category (conservative)
Agartala,1h,65.09887,67.856834,155.9562128225795,155.96641956968477,Unhealthy,Unhealthy
Agartala,6h,62.235893,66.183395,154.4779638485361,154.48940753836274,Unhealthy,Unhealthy
Agartala,12h,61.962,64.81669,154.33654465991904,154.35905977496358,Unhealthy,Unhealthy
Agartala,24h,58.107826,63.37395,152.34650669560165,152.39095193844827,Unhealthy,Unhealthy
Agra,1h,30.087305,101.384865,88.82737975877754,88.87879884908128,Moderate,Moderate
Agra,6h,30.056517,102.24157,88.76263157594869,88.84325995056415,Moderate,Moderate
Agra,12h,31.633455,104.17166,92.0789402810289,92.19323434133898,Moderate,Moderate
Agra,24h,34.459393,110.98391,98.02189849067656,98.1976596030043,Moderate,Moderate
Ahmedabad,1h,39.85139,102.71056,111.71447995439846,111.77103504583464,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Ahmedabad,6h,43.23683,106.51398,120.05049002949318,120.1642858994067,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Ahmedabad,12h,46.675358,112.29335,128.5172127191745,128.71309378159106,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Ahmedabad,24h,52.38972,118.844124,142.5877550211384,142.89013361331806,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Amritsar,1h,69.22341,96.888115,158.08585001520413,158.0995509285319,Unhealthy,Unhealthy
Amritsar,6h,67.42287,95.37918,157.15616938085526,157.17976189664594,Unhealthy,Unhealthy
Amritsar,12h,68.08306,93.51711,157.4970495226009,157.5326490492665,Unhealthy,Unhealthy
Amritsar,24h,62.629314,91.3256,154.68110017605653,154.72394802949702,Unhealthy,Unhealthy
Bangalore,1h,46.38911,111.22852,127.81238279869808,127.83785654192594,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bangalore,6h,48.254665,111.42306,132.4059599679918,132.43273933448984,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bangalore,12h,50.397705,111.34069,137.68279139839825,137.7498478338347,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bangalore,24h,53.602108,112.157135,145.57302975295178,145.64629494365136,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bhopal,1h,48.45282,70.468315,132.8938779591316,132.96199580053587,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bhopal,6h,51.099808,72.48515,139.41158689565995,139.5236826374303,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bhopal,12h,54.343136,74.48893,147.3976711484056,147.6207260821932,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Bhopal,24h,60.629696,79.72767,153.6486311772852,153.7005236819622,Unhealthy,Unhealthy
Bhubaneswar,1h,92.93894,95.07437,170.3309605460775,170.33760615872382,Unhealthy,Unhealthy
Bhubaneswar,6h,97.044464,97.716705,172.45077704378375,172.46446613918744,Unhealthy,Unhealthy
Bhubaneswar,12h,98.942085,98.41246,173.43058143350422,173.44925375356564,Unhealthy,Unhealthy
Bhubaneswar,24h,101.2366,101.377495,174.61531650555273,174.64038232254654,Unhealthy,Unhealthy
Chandigarh,1h,30.35441,50.70133,89.38910293579102,89.45071037849132,Moderate,Moderate
Chandigarh,6h,33.11276,53.6399,95.18992159601956,95.28168094618638,Moderate,Moderate
Chandigarh,12h,35.151226,56.25164,99.47682730220419,99.58117367985935,Moderate,Moderate
Chandigarh,24h,39.72031,59.40134,111.39171861044726,111.53049978898399,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Chennai,1h,78.92055,61.953506,163.09280112520787,163.09398685692486,Unhealthy,Unhealthy
Chennai,6h,79.00549,61.94636,163.13666138081203,163.13789438422538,Unhealthy,Unhealthy
Chennai,12h,78.97735,61.97867,163.12212927348997,163.12587161611833,Unhealthy,Unhealthy
Chennai,24h,78.72,61.918156,162.98925247433564,162.9936802565612,Unhealthy,Unhealthy
Delhi,1h,73.556114,112.77105,160.32296728811474,160.3315589189278,Unhealthy,Unhealthy
Delhi,6h,76.88421,118.18311,162.04137223688895,162.05575071119785,Unhealthy,Unhealthy
Delhi,12h,82.58593,124.11516,164.985358942673,165.01547495256108,Unhealthy,Unhealthy
Delhi,24h,90.77278,139.0116,169.2125003923229,169.24480665747558,Unhealthy,Unhealthy
Gangtok,1h,38.959118,35.037743,109.5174259588347,109.54635631618787,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Gangtok,6h,38.34462,34.433838,108.0043400903443,108.05921383958366,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Gangtok,12h,37.035076,33.913536,104.77983572495043,104.85476347190051,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Gangtok,24h,33.762764,31.839262,96.55688561697374,96.64290900496454,Moderate,Moderate
Guwahati,1h,42.39165,36.23289,117.96939228767127,118.00347938729291,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Guwahati,6h,41.859608,36.536453,116.65933553417723,116.72476698525587,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Guwahati,12h,42.637905,37.60328,118.57574627746888,118.66970418805454,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Guwahati,24h,44.682602,39.7198,123.61042685964,123.7880949470865,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Hyderabad,1h,128.87729,116.622955,188.88711435299905,188.8951899344602,Unhealthy,Unhealthy
Hyderabad,6h,125.92102,115.566444,187.36069552036685,187.3704610649728,Unhealthy,Unhealthy
Hyderabad,12h,125.24421,115.104195,187.01123556573222,187.02890730155406,Unhealthy,Unhealthy
Hyderabad,24h,118.96562,112.44563,183.7693938405044,183.7845010867988,Unhealthy,Unhealthy
Indore,1h,142.3372,103.86599,195.83691248677678,195.8478086127873,Unhealthy,Unhealthy
Indore,6h,142.47992,103.28108,195.91060118278287,195.9263584149022,Unhealthy,Unhealthy
Indore,12h,143.50578,104.11721,196.4402884190904,196.4659963432931,Unhealthy,Unhealthy
Indore,24h,134.11574,103.69866,191.59189839659552,191.62734429024795,Unhealthy,Unhealthy
Jaipur,1h,47.700752,59.004524,131.0420532993336,131.08698928296266,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Jaipur,6h,49.034885,60.44281,134.32710476975944,134.38559481366795,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Jaipur,12h,52.397537,62.660328,142.6070012231568,142.71576245945303,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Jaipur,24h,57.83728,66.2524,152.20681489355573,152.24620797385407,Unhealthy,Unhealthy
Jodhpur,1h,64.24608,69.07567,155.51588878892872,155.52953455194407,Unhealthy,Unhealthy
Jodhpur,6h,65.93136,69.9753,156.38605435756284,156.40257187613196,Unhealthy,Unhealthy
Jodhpur,12h,67.63782,71.34394,157.2671554452878,157.29454545401924,Unhealthy,Unhealthy
Jodhpur,24h,69.75846,75.19587,158.36211368733638,158.40210160314723,Unhealthy,Unhealthy
Kanpur,1h,33.128807,61.70981,95.22367151612377,95.26736911888287,Moderate,Moderate
Kanpur,6h,33.241634,61.46637,95.4609478144175,95.53896492233605,Moderate,Moderate
Kanpur,12h,33.662186,62.32391,96.34536900336138,96.5313986913329,Moderate,Moderate
Kanpur,24h,35.909485,67.25208,102.00827931159705,102.20789877733394,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Kohima,1h,32.074753,27.146523,93.00699088297176,93.04731108702305,Moderate,Moderate
Kohima,6h,31.67393,26.724339,92.16405714632616,92.20749402353181,Moderate,Moderate
Kohima,12h,31.477016,26.598066,91.74994875535432,91.82559927747997,Moderate,Moderate
Kohima,24h,29.839432,26.163578,88.30610113184852,88.40952093099833,Moderate,Moderate
Kolkata,1h,65.069496,62.312134,155.94104648666462,155.949149643282,Unhealthy,Unhealthy
Kolkata,6h,67.74073,64.86407,157.32029277130223,157.33039709639877,Unhealthy,Unhealthy
Kolkata,12h,69.99924,66.94694,158.48643430944992,158.5031369754964,Unhealthy,Unhealthy
Kolkata,24h,76.5941,71.92337,161.8915800490545,161.92232240891934,Unhealthy,Unhealthy
Lucknow,1h,25.011196,57.383053,78.15230088786507,78.21967638204026,Moderate,Moderate
Lucknow,6h,25.649544,57.29815,79.49474868446973,79.56804064312718,Moderate,Moderate
Lucknow,12h,26.273184,57.78843,80.80626640810988,80.9328586922183,Moderate,Moderate
Lucknow,24h,27.191023,59.46935,82.73648587009939,82.9466226438596,Moderate,Moderate
Mumbai,1h,67.77739,91.11365,157.3392211463856,157.3541432452026,Unhealthy,Unhealthy
Mumbai,6h,70.98335,95.139725,158.9945656522182,159.02306260650602,Unhealthy,Unhealthy
Mumbai,12h,74.10891,98.66659,160.6083937907244,160.63823798835844,Unhealthy,Unhealthy
Mumbai,24h,75.42344,103.39531,161.28712868564875,161.34258232478473,Unhealthy,Unhealthy
Mysuru,1h,28.369179,62.31144,85.2141527822601,85.24923841943045,Moderate,Moderate
Mysuru,6h,29.551144,63.068672,87.69982998565544,87.7583769114744,Moderate,Moderate
Mysuru,12h,31.056309,64.43083,90.86519865109685,90.95652078456634,Moderate,Moderate
Mysuru,24h,32.46564,67.14672,93.82903047487972,93.93543056766363,Moderate,Moderate
Nagpur,1h,52.775127,58.436726,143.53674588610778,143.58734583255634,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Nagpur,6h,56.251175,61.127724,151.3878563900014,151.40304636176444,Unhealthy,Unhealthy
Nagpur,12h,60.819622,64.49307,153.74669631137988,153.77531341456262,Unhealthy,Unhealthy
Nagpur,24h,66.533165,69.446884,156.69678697495615,156.746410438208,Unhealthy,Unhealthy
Pune,1h,134.1546,154.83751,191.6119652316995,191.61870932704656,Unhealthy,Unhealthy
Pune,6h,139.30493,157.40884,194.27125026755138,194.28282395454303,Unhealthy,Unhealthy
Pune,12h,141.17592,157.9553,195.23730253293968,195.25686513661586,Unhealthy,Unhealthy
Pune,24h,142.87344,155.4126,196.1137906909617,196.13536234173307,Unhealthy,Unhealthy
Raipur,1h,32.424202,54.040382,93.74188396142787,93.78061574518425,Moderate,Moderate
Raipur,6h,34.28174,56.389915,97.64829080606223,97.72691761065963,Moderate,Moderate
Raipur,12h,36.104687,59.226135,102.48892714150587,102.62705081192094,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Raipur,24h,39.268047,62.417374,110.2781064977598,110.47987695435184,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Shillong,1h,5.9913473,74.870514,60.73655191621317,60.75786829215876,Moderate,Moderate
Shillong,6h,5.0818624,60.46526,53.67797720726073,53.716815479743836,Moderate,Moderate
Shillong,12h,4.274595,47.769493,43.42681270142145,43.507982524896555,Good,Good
Shillong,24h,3.2494051,35.466717,32.24247037382439,32.382958740858484,Good,Good
Surat,1h,42.65592,62.360214,118.62009989676164,118.68313613968279,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Surat,6h,44.025288,63.846184,121.99191426032752,122.08559977469133,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Surat,12h,46.168144,65.133865,127.26829482802195,127.47238534898614,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Surat,24h,46.903294,68.10069,129.07846165182602,129.3676994745456,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups
Varanasi,1h,113.17696,126.62062,180.7805187197204,180.79761531656987,Unhealthy,Unhealthy
Varanasi,6h,108.67513,123.52943,178.4560748664044,178.47492839463519,Unhealthy,Unhealthy
Varanasi,12h,100.888435,118.804985,174.43554618361125,174.47303657813117,Unhealthy,Unhealthy
Varanasi,24h,94.81812,115.90851,171.30124362828985,171.3536049106224,Unhealthy,Unhealthy
Vijayawada,1h,60.347256,55.05342,153.50279799402074,153.5104776750249,Unhealthy,Unhealthy
Vijayawada,6h,62.5696,56.292194,154.650267212107,154.66447826582464,Unhealthy,Unhealthy
Vijayawada,12h,63.857933,58.182083,155.31547649291093,155.33921870240673,Unhealthy,Unhealthy
Vijayawada,24h,65.13462,60.699764,155.9746724200073,156.00667535844167,Unhealthy,Unhealthy
